id,user_id,product,time_of_day,quantity,calories,fat,saturated,carbs,sugars,protein,salt,fiber,notes,created_at,updated_at
3,3,Banana,breakfast,1,105,0.4,0.1,27,14.0,1.3,0.0,3.1,,2025-01-01 07:20:00,2025-01-01 09:43:00
4,3,Steak (200g),breakfast,1,500,40.0,16.0,0,0.0,46.0,0.2,0.0,,2025-01-01 09:48:00,2025-01-01 08:56:00
5,3,Pizza Slice,lunch,1,285,10.0,4.5,36,3.5,12.0,0.8,2.0,,2025-01-01 08:51:00,2025-01-01 11:57:00
6,3,Fries,dinner,1,365,17.0,2.5,48,0.3,4.0,0.5,4.0,,2025-01-01 10:33:00,2025-01-01 12:53:00
7,3,Salad with Dressing,breakfast,1,350,25.0,4.0,20,5.0,5.0,0.5,3.0,,2025-01-02 06:11:00,2025-01-02 10:39:00
8,3,Grilled Chicken Breast,lunch,1,165,3.6,1.0,0,0.0,31.0,0.1,0.0,,2025-01-02 10:55:00,2025-01-02 08:44:00
9,3,Cheeseburger,dinner,1,303,14.0,6.0,30,6.0,17.0,1.2,1.0,,2025-01-02 07:40:00,2025-01-02 12:06:00
10,3,Salad with Dressing,dinner,1,350,25.0,4.0,20,5.0,5.0,0.5,3.0,,2025-01-02 06:41:00,2025-01-02 08:25:00
11,3,Protein Shake,breakfast,1,120,1.0,0.5,3,1.0,24.0,0.1,0.0,,2025-01-03 06:20:00,2025-01-03 07:01:00
12,3,Cheeseburger,breakfast,1,303,14.0,6.0,30,6.0,17.0,1.2,1.0,,2025-01-03 09:58:00,2025-01-03 06:19:00
13,3,Grilled Chicken Breast,lunch,1,165,3.6,1.0,0,0.0,31.0,0.1,0.0,,2025-01-03 07:53:00,2025-01-03 12:37:00
14,3,Oatmeal,lunch,1,150,3.0,0.5,27,1.0,5.0,0.0,4.0,,2025-01-03 06:02:00,2025-01-03 10:09:00
15,3,Fries,dinner,1,365,17.0,2.5,48,0.3,4.0,0.5,4.0,,2025-01-03 06:15:00,2025-01-03 12:47:00
16,3,Protein Shake,dinner,1,120,1.0,0.5,3,1.0,24.0,0.1,0.0,,2025-01-03 07:14:00,2025-01-03 09:16:00
17,3,Cheeseburger,breakfast,1,303,14.0,6.0,30,6.0,17.0,1.2,1.0,,2025-01-04 08:51:00,2025-01-04 11:04:00
18,3,Protein Shake,breakfast,1,120,1.0,0.5,3,1.0,24.0,0.1,0.0,,2025-01-04 10:02:00,2025-01-04 11:04:00
19,3,Pizza Slice,lunch,1,285,10.0,4.5,36,3.5,12.0,0.8,2.0,,2025-01-04 09:24:00,2025-01-04 07:40:00
20,3,Chocolate Bar,lunch,1,230,13.0,8.0,25,23.0,3.0,0.1,2.0,,2025-01-04 06:52:00,2025-01-04 11:15:00
21,3,Turkey Sandwich,dinner,1,320,8.0,2.0,38,5.0,24.0,1.2,3.0,,2025-01-04 09:28:00,2025-01-04 06:12:00
22,3,Yogurt Parfait,dinner,1,180,2.0,1.0,30,15.0,8.0,0.1,2.0,,2025-01-04 07:35:00,2025-01-04 06:18:00
23,3,Fries,snack,1,365,17.0,2.5,48,0.3,4.0,0.5,4.0,,2025-01-04 16:40:00,2025-01-04 17:09:00
24,3,Scrambled Eggs,breakfast,1,200,15.0,5.0,2,1.5,12.0,1.2,0.0,,2025-01-05 09:35:00,2025-01-05 11:27:00
25,3,Fries,breakfast,1,365,17.0,2.5,48,0.3,4.0,0.5,4.0,,2025-01-05 08:06:00,2025-01-05 11:20:00
26,3,Grilled Chicken Breast,lunch,1,165,3.6,1.0,0,0.0,31.0,0.1,0.0,,2025-01-05 08:58:00,2025-01-05 06:01:00
27,3,Scrambled Eggs,lunch,1,200,15.0,5.0,2,1.5,12.0,1.2,0.0,,2025-01-05 08:33:00,2025-01-05 08:02:00
28,3,Protein Shake,dinner,1,120,1.0,0.5,3,1.0,24.0,0.1,0.0,,2025-01-05 10:20:00,2025-01-05 11:56:00
29,3,Smoothie,breakfast,1,250,1.5,0.3,55,48.0,5.0,0.0,4.0,,2025-01-06 07:32:00,2025-01-06 10:41:00
30,3,Steak (200g),lunch,1,500,40.0,16.0,0,0.0,46.0,0.2,0.0,,2025-01-06 06:47:00,2025-01-06 10:07:00
31,3,Turkey Sandwich,dinner,1,320,8.0,2.0,38,5.0,24.0,1.2,3.0,,2025-01-06 10:55:00,2025-01-06 09:06:00
32,3,Fish Tacos,dinner,1,300,12.0,2.5,28,3.0,18.0,0.7,2.0,,2025-01-06 10:24:00,2025-01-06 12:53:00
33,3,Yogurt Parfait,breakfast,1,180,2.0,1.0,30,15.0,8.0,0.1,2.0,,2025-01-07 06:57:00,2025-01-07 06:01:00
34,3,Scrambled Eggs,breakfast,1,200,15.0,5.0,2,1.5,12.0,1.2,0.0,,2025-01-07 08:22:00,2025-01-07 07:23:00
35,3,Scrambled Eggs,lunch,1,200,15.0,5.0,2,1.5,12.0,1.2,0.0,,2025-01-07 10:06:00,2025-01-07 12:13:00
36,3,Yogurt Parfait,lunch,1,180,2.0,1.0,30,15.0,8.0,0.1,2.0,,2025-01-07 07:25:00,2025-01-07 11:14:00
37,3,Scrambled Eggs,dinner,1,200,15.0,5.0,2,1.5,12.0,1.2,0.0,,2025-01-07 09:20:00,2025-01-07 10:06:00
38,3,Steak (200g),dinner,1,500,40.0,16.0,0,0.0,46.0,0.2,0.0,,2025-01-07 09:18:00,2025-01-07 10:59:00
39,3,Cheeseburger,breakfast,1,303,14.0,6.0,30,6.0,17.0,1.2,1.0,,2025-01-08 10:01:00,2025-01-08 07:04:00
40,3,Pizza Slice,breakfast,1,285,10.0,4.5,36,3.5,12.0,0.8,2.0,,2025-01-08 09:09:00,2025-01-08 06:02:00
